S.No, Var, Age
1,443,15
2,317,18
3,268,15
4,336,16
5,209,18
6,288,18
7,380,17
8,197,16
9,226,15
10,350,15
11,246,18
12,314,18
13,486,14
14,356,16
15,540,16
16,434,16
17,183,17
18,418,15
19,513,14
20,180,13
21,418,14
22,518,14
23,314,15
24,288,16
25,250,18
26,166,18
27,383,15
28,368,16
29,325,17
30,283,18
31,386,16
32,368,12
33,320,16
34,303,17
35,363,14
36,399,12
37,165,11
38,335,12
39,158,13
40,340,13
41,512,18
42,130,10
43,112,10
44,87.4,10
45,400,12
46,494,13
47,273,13
48,295,10
49,524,14
50,157,13
51,250,10
52,188,9
53,237,5
54,63.3,10
55,94.6,6
56,135,10
57,111,11
58,113,6
59,353,10
60,190,10
61,176,17
62,145,11
63,82.9,6
64,128,10
65,121,6
66,120,5
67,30.5,5
68,90.1,5
69,124,6
70,70.7,6
71,72.2,5
72,162,11
73,241,11
74,482,13
75,103,5
76,226,9
77,64.3,10
78,460,16
79,155,16
80,347,17
81,134,18
82,118,7
83,432,17
84,336,18
85,435,15
86,235,13
87,147,17
88,103,12
89,348,13
90,139,5
91,120,9
92,303,13
93,146,11
94,117,9
95,198,10
96,284,16
97,65.2,9
98,184,11
99,114,10
100,321,16
101,73,6
102,362,16
103,457,12
104,90.8,7
105,179,9
106,361,10
107,553,13
108,39,5
109,100,6
110,104,10
111,78.1,7
112,107,8
113,225,5
114,142,7
115,103,7
116,119,7
117,166,10
118,190,7
119,413,12
120,84.6,7
121,168,13
122,127,8
123,83.4,8
124,149,11
125,77.1,8
126,114,8
127,138,5
128,84.3,7
129,290,8
130,160,7
131,77.2,7
132,68.6,6
133,178,9
134,138,7
135,71.7,8
136,222,7
137,98.9,9
138,76.4,9
139,147,7
140,78.9,7
141,123,9
142,82.4,5
143,129,8
144,53.5,11
145,100,8
146,236,7
147,133,5
148,69.8,8
149,133,7
150,187,8
151,123,5
152,62.9,6
153,145,8
154,77.8,8
155,287,10
156,134,11
157,178,10
158,116,10
159,68.1,7
160,114,9
161,103,11
162,476,11
163,299,12
164,219,9
165,135,11
166,58.6,7
167,313,15
168,146,9
169,341,15
170,88.4,7
171,220,13
172,80.7,6
173,397,14
174,272,13
175,258,13
176,165,12
177,130,12
178,357,12
179,192,12
180,292,12
181,182,13
182,299,18
183,496,12
184,365,16
185,332,14
186,349,17
187,178,17
188,299,18
189,320,18
190,149,6
191,158,6
192,39.2,6
193,95.9,5
194,82.9,5
195,368,13
196,278,12
197,397,13
198,296,12
199,336,13
200,314,13
201,127,13
202,187,13
203,208,17
204,361,17
205,293,16
206,329,16
207,316,17
208,373,17
209,305,17
210,286,16
211,217,16
212,274,17
213,349,16
214,158,18
215,372,11
216,234,17
217,242,11
218,450,14
219,279,16
220,201,16
221,89.9,11
222,281,10
223,469,14
224,375,14
225,420,14
226,293,13
227,383,15
228,209,16
229,310,15
230,307,13
231,315,15
232,254,15
233,354,13
234,423,13
235,240,13
236,469,14
237,339,12
238,254,14
239,114,14
240,482,13
241,413,14
242,259,18
243,222,17
244,256,17
245,221,17
246,245,14
247,245,14
248,107,14
249,246,18
250,205,16
251,407,17
252,285,18
253,207,16
254,267,15
255,261,16
256,268,15
257,125.5,7
258,111,8
259,356,8
260,131,9
261,292,7
262,181,8
263,109,9
264,128,8
265,167,9
266,153,11
267,208,10
268,176,11
269,85.1,9
270,149,10
271,66.3,11
272,223,10
273,398,14
274,138,11
275,297,10
276,110,11
277,182,10
278,161,11
279,145,7
280,225,11
281,326,12
282,180,11
283,156,9
284,124,10
285,129,9
286,78.9,9
287,205,10
288,167,10
289,400,14
290,125,10
291,147,10
292,273,11
